1, Joe Moreno
2, Brian Hopkins
3, Pat Dowell
4, Sophia King
5, Leslie Hairston
6, Roderick Sawyer
7, Gregory Mitchell
8, Michelle Harris
9, Anthony Beale
10, Susan Sadlowski Garza
11, Patrick Thompson
12, George A. Cardenas
13, Marty Quinn
14, Ed Burke
15, Raymond Lopez
16, Toni Foulkes
17, David Moore
18, Derrick Curtis
19, Matthew O'Shea
20, Willie B. Cochran
21, Howard Brookins Jr.
22, Ricardo Munoz
23, Michael Zalewski
24, Michael Scott Jr.
25, Daniel Solis
26, Roberto Maldonado
27, Walter Burnett Jr.
28, Jason Ervin
29, Chris Taliaferro
30, Ariel E. Reboyras
31, Milly Santiago
32, Scott Waguespack
33, Deborah Mell
34, Carrie Austin
35, Carlos Ramirez-Rosa
36, Gilbert Villegas
37, Emma Mitts
38, Nicholas Sposato
39, Margaret Laurino
40, Patrick J. O'Connor
41, Anthony Napolitano
42, Brendan Reilly
43, Michele Smith
44, Thomas M. Tunney
45, John Arena
46, James Cappleman
47, Ameya Pawar
48, Harry Osterman
49, Joseph A. Moore
50, Debra Silverstein
